-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 04/14/2014 through 04/14/2024 
Location: Latitude  21.1571   Longitude 79.0825 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 282.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,WS10M
2014,7,1,34.06,41.48,27.14,42.0,0.0,97.05,4.77
2014,7,2,34.66,41.52,28.58,39.31,0.0,97.05,5.62
2014,7,3,34.65,40.9,29.13,40.31,2.73,96.86,5.87
2014,7,4,34.25,40.05,29.72,47.5,2.27,96.81,3.92
2014,7,5,32.4,37.8,26.62,55.5,5.91,96.87,3.65
2014,7,6,28.29,31.53,26.06,72.75,5.73,97.15,3.77
2014,7,7,30.81,37.14,24.98,61.81,1.88,97.01,4.38
2014,7,8,31.31,37.76,26.41,59.94,0.81,96.9,5.59
2014,7,9,29.94,35.88,26.17,66.12,6.49,96.94,5.8
2014,7,10,30.39,37.02,25.34,64.94,7.63,96.93,6.17
2014,7,11,30.58,36.55,25.63,64.0,4.38,96.87,5.93
2014,7,12,30.5,36.01,25.52,64.56,1.52,96.74,5.04
2014,7,13,28.94,32.62,26.21,75.12,9.72,96.76,4.66
2014,7,14,28.28,32.04,25.65,78.0,11.34,96.71,4.88
2014,7,15,27.45,30.96,24.65,86.5,73.92,96.57,5.1
2014,7,16,27.79,32.12,24.48,83.88,33.04,96.62,5.56
2014,7,17,28.7,33.52,24.54,77.75,4.62,96.74,5.77
2014,7,18,27.95,31.88,25.4,82.25,9.1,96.79,5.51
2014,7,19,27.16,31.28,24.75,83.31,15.57,96.75,6.16
2014,7,20,26.71,30.23,24.01,81.38,18.51,96.79,7.98
2014,7,21,26.08,28.59,24.28,84.69,30.57,96.78,7.19
2014,7,22,24.73,26.29,23.91,91.06,145.16,96.61,9.93
2014,7,23,25.3,28.53,22.54,85.25,15.1,96.52,11.43
2014,7,24,24.65,27.62,21.69,82.81,0.63,97.02,5.34
2014,7,25,26.23,30.83,22.34,80.0,0.25,97.22,3.79
2014,7,26,27.22,31.34,23.69,81.44,13.82,97.31,3.59
2014,7,27,26.25,28.76,23.94,88.56,12.7,97.16,5.69
2014,7,28,26.49,29.16,24.58,89.5,5.91,96.87,3.1
2014,7,29,26.53,29.54,24.51,86.12,1.87,96.9,3.08
2014,7,30,26.66,30.19,23.73,85.94,2.05,96.89,2.48
2014,7,31,26.45,29.43,24.39,87.5,1.56,96.9,2.89
2014,8,1,27.4,31.5,24.08,83.12,1.31,96.89,3.86
2014,8,2,26.82,30.67,24.51,83.0,0.93,96.98,4.76
2014,8,3,26.67,30.42,24.44,84.06,0.94,96.91,4.58
2014,8,4,25.98,28.82,24.24,88.44,5.85,96.77,5.48
2014,8,5,25.15,27.4,23.72,91.0,14.47,96.71,6.77
2014,8,6,26.5,31.02,23.3,82.69,2.1,96.89,6.34
2014,8,7,26.76,30.42,23.3,82.81,0.17,96.99,5.02
2014,8,8,26.73,30.94,23.4,81.56,0.01,97.08,4.15
2014,8,9,26.71,30.51,23.91,82.06,0.6,97.22,3.46
2014,8,10,25.65,28.84,23.86,85.75,6.81,97.26,4.25
2014,8,11,26.26,30.74,23.23,84.5,2.88,97.15,4.3
2014,8,12,26.1,30.2,23.44,84.25,1.06,97.19,4.16
2014,8,13,26.82,31.62,23.44,82.69,1.26,97.22,4.57
2014,8,14,27.01,31.45,23.83,82.0,0.68,97.25,4.65
2014,8,15,26.83,31.05,23.57,81.56,0.24,97.34,3.98
2014,8,16,26.27,29.78,23.64,81.56,0.55,97.45,3.39
2014,8,17,26.82,31.48,22.65,79.44,1.58,97.42,3.07
2014,8,18,27.7,32.13,22.96,75.56,1.5,97.54,1.69
2014,8,19,28.49,32.68,24.16,75.38,0.15,97.58,1.31
2014,8,20,28.12,32.11,24.42,79.88,0.06,97.44,2.27
2014,8,21,27.81,30.61,25.0,81.69,36.7,97.26,1.78
2014,8,22,27.19,31.01,23.71,85.25,58.07,97.29,1.98
2014,8,23,26.61,29.86,23.94,86.81,14.28,97.45,2.12
2014,8,24,26.69,30.29,24.12,84.38,0.01,97.48,2.11
2014,8,25,26.87,30.4,23.86,84.75,4.76,97.51,1.17
2014,8,26,27.4,31.37,23.93,79.0,0.62,97.38,1.61
2014,8,27,27.25,31.24,23.73,82.25,8.52,97.21,2.3
2014,8,28,26.25,29.22,24.44,90.19,6.55,97.14,2.33
2014,8,29,27.4,31.35,24.82,85.56,2.03,96.97,2.78
2014,8,30,26.73,29.88,24.37,86.5,1.75,96.82,2.89
2014,8,31,26.19,28.4,24.35,91.56,12.56,96.49,3.7
2014,9,1,25.94,28.76,24.11,89.19,4.93,96.5,4.66
2014,9,2,25.62,29.2,23.04,87.12,3.27,96.87,5.38
2014,9,3,25.72,29.17,22.9,86.56,1.16,97.24,3.38
2014,9,4,26.73,30.85,23.47,83.44,0.51,97.23,3.8
2014,9,5,26.09,29.56,23.46,86.31,0.84,97.19,3.29
2014,9,6,25.46,28.44,23.37,89.75,21.61,97.14,4.36
2014,9,7,25.12,27.85,23.15,93.06,45.72,96.8,5.21
2014,9,8,25.69,29.76,21.89,88.94,24.35,96.85,3.86
2014,9,9,23.96,27.25,21.34,88.94,6.8,97.09,5.29
2014,9,10,25.9,29.65,23.03,87.75,0.75,97.14,4.92
2014,9,11,24.81,27.19,23.23,91.56,30.69,97.38,3.99
2014,9,12,25.61,28.81,23.43,90.0,12.84,97.47,4.09
2014,9,13,25.59,28.73,23.44,90.56,12.84,97.4,3.34
2014,9,14,26.4,29.86,23.52,88.31,5.62,97.35,2.76
2014,9,15,26.49,30.29,23.72,86.69,2.19,97.28,3.07
2014,9,16,26.59,31.15,22.78,83.69,0.69,97.16,3.33
2014,9,17,26.86,31.44,23.12,83.56,0.1,97.15,3.49
2014,9,18,27.03,31.52,22.87,83.75,0.78,97.27,3.67
2014,9,19,26.62,30.58,23.64,86.75,1.07,97.29,3.68
2014,9,20,25.84,28.37,24.13,90.38,4.42,97.22,2.12
2014,9,21,26.56,31.3,22.9,84.25,0.37,97.33,3.22
2014,9,22,25.55,29.24,22.65,85.31,0.03,97.55,2.35
2014,9,23,26.22,31.5,21.36,80.06,0.0,97.59,2.65
2014,9,24,25.87,31.01,20.37,76.44,0.0,97.69,2.1
2014,9,25,25.89,31.15,19.75,72.5,0.0,97.8,1.52
2014,9,26,26.06,31.19,20.01,71.06,0.0,97.91,1.55
2014,9,27,26.18,31.3,21.02,72.56,0.08,97.98,0.98
2014,9,28,26.53,31.32,20.98,70.88,0.01,98.01,1.09
2014,9,29,26.55,30.89,21.53,69.75,0.0,97.98,0.86
2014,9,30,26.68,31.63,20.7,70.25,0.0,97.94,1.1
2014,10,1,26.3,31.42,20.67,74.31,0.0,97.97,1.7
2014,10,2,26.12,31.15,20.85,77.19,0.0,97.92,2.02
2014,10,3,26.73,31.37,21.98,76.25,0.0,97.8,1.65
2014,10,4,26.69,31.23,22.27,77.44,0.31,97.85,1.91
2014,10,5,26.09,31.51,21.11,78.0,0.03,97.9,1.99
2014,10,6,25.94,30.44,21.41,82.25,0.05,97.88,1.89
2014,10,7,25.73,29.87,21.8,84.62,1.29,97.71,2.09
2014,10,8,25.65,29.62,21.54,82.75,0.37,97.76,1.91
2014,10,9,26.2,30.3,21.58,79.5,0.01,97.76,1.77
2014,10,10,26.13,31.31,22.06,79.88,0.0,97.62,3.02
2014,10,11,24.94,31.23,20.4,74.62,0.0,97.52,4.25
2014,10,12,23.44,30.29,17.51,73.12,2.21,97.35,5.47
2014,10,13,24.44,27.6,22.1,84.31,8.0,96.97,6.7
2014,10,14,25.68,30.71,20.43,80.38,1.51,97.66,2.4
2014,10,15,25.72,29.98,22.04,82.25,0.72,98.1,1.52
2014,10,16,25.58,30.48,21.14,82.06,0.7,98.08,2.11
2014,10,17,25.51,30.44,20.84,81.69,0.0,98.09,2.02
2014,10,18,25.07,29.8,20.45,80.56,0.16,98.03,2.2
2014,10,19,25.35,30.54,20.01,77.69,0.01,98.03,1.55
2014,10,20,25.52,30.4,20.94,76.69,0.99,98.08,1.43
2014,10,21,24.53,30.83,20.15,74.69,0.03,98.21,2.44
2014,10,22,23.2,30.69,17.3,70.94,0.0,98.29,2.7
2014,10,23,22.82,30.47,16.7,66.19,0.0,98.16,2.0
2014,10,24,22.6,28.4,17.58,67.38,0.0,98.07,1.52
2014,10,25,22.21,27.23,18.71,79.69,1.63,98.12,1.67
2014,10,26,21.37,25.94,18.24,83.56,1.35,98.31,1.6
2014,10,27,21.83,26.49,18.04,75.56,0.32,98.28,0.93
2014,10,28,22.64,29.26,16.79,67.38,0.0,98.14,1.47
2014,10,29,22.62,29.99,16.67,66.81,0.0,98.17,1.78
2014,10,30,22.99,30.84,16.58,67.75,0.0,98.09,1.64
2014,10,31,23.41,30.73,17.4,69.56,0.0,98.06,1.72
2014,11,1,23.9,31.9,17.53,69.44,0.0,98.06,2.44
2014,11,2,23.78,32.11,17.8,67.19,0.0,98.16,2.57
2014,11,3,22.76,31.51,15.97,65.75,0.0,98.15,2.68
2014,11,4,22.85,32.0,15.39,61.5,0.0,98.04,2.24
2014,11,5,23.82,32.3,16.87,62.81,0.0,98.02,2.13
2014,11,6,23.46,32.72,17.08,62.69,0.0,97.92,2.99
2014,11,7,22.26,31.86,15.26,59.56,0.0,98.01,3.04
2014,11,8,21.67,31.5,14.48,61.25,0.0,98.13,3.46
2014,11,9,22.37,30.69,15.7,66.06,0.0,98.16,3.61
2014,11,10,24.4,31.84,18.55,71.81,0.0,98.06,2.42
2014,11,11,25.08,31.79,19.54,74.12,0.08,98.01,2.13
2014,11,12,25.26,32.01,19.85,75.94,0.01,98.09,2.45
2014,11,13,24.2,30.3,20.05,74.94,0.0,98.25,2.65
2014,11,14,25.12,32.03,19.21,70.25,0.6,98.29,1.73
2014,11,15,26.26,32.69,21.07,65.0,0.36,98.13,1.12
2014,11,16,25.04,31.54,19.73,69.81,0.39,98.11,2.0
2014,11,17,23.03,29.52,18.27,63.69,0.01,98.21,2.84
2014,11,18,21.18,30.62,14.89,53.75,0.0,98.35,2.8
2014,11,19,20.2,30.73,11.71,54.38,0.0,98.34,2.3
2014,11,20,21.12,30.84,13.81,53.81,0.0,98.23,1.65
2014,11,21,21.56,30.88,14.07,54.75,0.0,98.14,1.3
2014,11,22,21.73,31.14,14.79,54.0,0.0,98.06,1.52
2014,11,23,21.25,30.81,13.95,57.94,0.0,98.13,1.71
2014,11,24,20.82,30.39,13.33,59.38,0.0,98.21,2.27
2014,11,25,20.94,31.05,13.33,59.69,0.0,98.16,1.97
2014,11,26,21.34,31.65,13.28,51.44,0.0,97.92,1.81
2014,11,27,21.64,31.9,14.17,49.06,0.0,97.94,1.41
2014,11,28,21.61,32.07,13.2,52.62,0.0,98.07,1.67
2014,11,29,21.55,31.85,13.98,51.69,0.0,98.12,1.95
2014,11,30,22.69,31.58,15.42,47.06,0.0,98.14,1.66
2014,12,1,21.41,31.77,13.9,52.44,0.0,98.14,2.68
2014,12,2,21.58,31.79,13.38,53.0,0.0,98.17,2.15
2014,12,3,21.28,32.14,12.93,41.94,0.0,98.15,2.86
2014,12,4,20.56,31.44,12.63,41.88,0.0,98.19,2.99
2014,12,5,20.4,31.36,12.25,47.56,0.0,98.29,2.81
2014,12,6,20.28,31.24,12.51,47.06,0.0,98.27,2.83
2014,12,7,20.26,31.23,11.98,46.44,0.0,98.18,2.41
2014,12,8,20.23,31.15,11.87,50.5,0.0,98.18,2.34
2014,12,9,20.67,31.5,12.26,51.25,0.0,98.24,2.38
2014,12,10,21.0,31.26,12.89,55.69,0.0,98.2,2.52
2014,12,11,20.91,29.53,14.5,55.94,0.0,98.25,3.38
2014,12,12,20.31,27.68,15.18,59.62,0.74,98.28,3.0
2014,12,13,20.47,26.1,15.44,73.56,0.18,98.26,2.57
2014,12,14,21.7,26.93,17.69,74.88,1.0,98.19,2.36
2014,12,15,21.61,28.28,15.33,64.19,0.18,98.27,1.97
2014,12,16,17.8,27.29,10.73,39.81,0.0,98.53,4.01
2014,12,17,16.09,26.3,8.52,41.69,0.0,98.59,3.84
2014,12,18,15.98,26.58,8.07,48.5,0.0,98.61,3.24
2014,12,19,16.22,26.69,8.16,51.31,0.0,98.67,3.09
2014,12,20,16.52,24.31,10.19,43.75,0.0,98.43,2.2
2014,12,21,17.94,28.54,9.65,44.19,0.0,98.21,2.54
2014,12,22,17.67,28.95,9.06,54.0,0.0,98.19,2.77
2014,12,23,18.38,29.19,9.39,52.81,0.0,98.23,2.22
2014,12,24,18.66,29.98,9.82,52.38,0.0,98.36,2.49
2014,12,25,19.01,29.24,10.27,49.75,0.0,98.37,2.09
2014,12,26,18.23,28.3,10.83,43.81,0.0,98.23,3.21
2014,12,27,16.57,26.86,8.81,38.69,0.0,98.32,2.81
2014,12,28,15.88,26.61,7.82,39.5,0.0,98.37,3.15
2014,12,29,16.5,27.42,7.6,39.31,0.0,98.14,2.73
2014,12,30,18.54,29.45,9.16,49.12,0.0,97.88,2.84
2014,12,31,21.06,30.09,14.06,68.12,0.74,97.83,5.36
2015,1,1,21.71,29.4,16.78,73.69,3.46,97.81,3.99
2015,1,2,22.0,29.19,15.76,74.19,6.91,98.04,2.28
2015,1,3,19.99,22.83,17.86,85.88,6.55,98.23,2.62
2015,1,4,20.15,27.63,14.68,70.56,0.19,98.35,3.95
2015,1,5,17.15,26.63,10.01,57.81,0.0,98.35,3.17
2015,1,6,17.95,27.35,8.34,43.56,0.0,98.29,1.91
2015,1,7,18.49,27.97,9.9,43.56,0.0,98.16,1.9
2015,1,8,17.19,27.28,9.44,50.31,0.0,98.28,3.34
2015,1,9,16.05,26.21,8.05,49.25,0.0,98.49,2.99
2015,1,10,16.72,27.55,7.23,43.5,0.0,98.47,2.55
2015,1,11,16.3,27.9,7.48,42.5,0.0,98.46,3.17
2015,1,12,16.99,28.32,7.18,43.31,0.0,98.38,2.37
2015,1,13,17.68,28.1,8.02,40.12,0.0,98.27,2.16
2015,1,14,18.89,28.9,8.73,38.12,0.0,98.19,1.68
2015,1,15,18.28,28.4,9.12,42.0,0.0,98.28,2.26
2015,1,16,18.58,28.61,9.12,45.31,0.0,98.33,2.09
2015,1,17,18.13,28.0,10.1,45.75,0.0,98.4,3.19
2015,1,18,17.87,27.95,9.04,38.12,0.0,98.41,2.45
2015,1,19,17.61,28.44,9.19,36.5,0.0,98.38,3.23
2015,1,20,18.09,28.64,9.09,42.38,0.0,98.46,3.16
2015,1,21,19.26,28.85,11.6,45.0,0.0,98.64,3.48
2015,1,22,20.65,29.1,12.41,48.06,0.02,98.52,3.0
2015,1,23,21.89,29.61,15.4,46.75,0.34,98.33,2.28
2015,1,24,22.05,29.55,15.24,54.44,0.26,98.4,2.92
2015,1,25,22.8,31.2,15.65,48.88,0.01,98.4,3.5
2015,1,26,22.77,29.94,16.48,49.12,0.01,98.3,3.24
2015,1,27,23.26,30.98,16.67,45.06,0.02,98.21,2.32
2015,1,28,22.55,30.65,14.87,49.94,0.32,98.1,1.84
2015,1,29,21.55,29.98,14.4,58.94,0.46,98.23,2.49
2015,1,30,20.36,28.98,14.27,45.94,0.0,98.49,3.79
2015,1,31,19.15,29.87,9.77,27.12,0.0,98.45,2.7
2015,2,1,19.93,30.64,10.34,28.19,0.0,98.39,2.6
2015,2,2,20.71,31.48,11.13,34.56,0.0,98.41,3.32
2015,2,3,21.77,32.26,12.12,40.38,0.0,98.63,2.88
2015,2,4,22.88,32.62,14.23,36.31,0.0,98.57,2.31
2015,2,5,22.67,31.57,15.27,43.19,0.0,98.42,2.98
2015,2,6,22.63,31.62,14.9,41.5,0.0,98.37,2.77
2015,2,7,23.3,32.0,15.83,40.56,0.0,98.25,3.44
2015,2,8,24.33,32.2,16.08,43.31,0.43,98.16,3.61
2015,2,9,22.8,29.33,18.18,44.0,0.04,98.36,3.07
2015,2,10,24.11,31.37,17.78,44.62,2.21,98.43,3.09
2015,2,11,24.07,31.87,16.95,51.62,1.7,98.25,2.84
2015,2,12,23.84,31.26,17.62,51.75,0.11,98.14,2.77
2015,2,13,23.28,32.66,15.84,38.88,0.0,98.06,3.24
2015,2,14,23.07,33.61,12.81,29.38,0.0,97.99,2.21
2015,2,15,25.18,35.15,17.87,25.81,0.0,97.93,2.44
2015,2,16,24.37,34.92,15.12,28.94,0.0,98.09,3.22
2015,2,17,25.02,34.98,15.05,25.62,0.0,97.94,2.24
2015,2,18,26.01,35.43,16.84,21.81,0.0,97.81,1.5
2015,2,19,25.05,34.25,15.69,29.12,0.0,97.97,2.82
2015,2,20,26.44,34.84,17.51,29.94,0.0,98.05,2.11
2015,2,21,26.66,34.59,17.69,30.19,2.09,98.09,1.43
2015,2,22,26.22,36.03,16.93,28.38,0.0,98.11,2.69
2015,2,23,26.63,35.73,16.74,26.56,0.0,98.13,1.66
2015,2,24,27.04,36.38,16.73,24.69,0.0,97.96,1.8
2015,2,25,27.51,36.87,18.55,23.62,0.0,97.75,2.35
2015,2,26,26.76,36.24,18.08,25.0,0.0,97.59,3.55
2015,2,27,27.01,35.17,18.27,28.0,0.0,97.67,2.05
2015,2,28,26.9,34.94,19.15,34.62,7.37,97.74,3.95
2015,3,1,24.16,29.94,19.94,67.38,6.5,97.8,2.49
2015,3,2,22.73,27.18,19.76,72.31,21.41,98.01,3.14
2015,3,3,22.88,29.29,17.39,59.5,0.13,97.98,2.98
2015,3,4,21.15,29.57,13.15,44.5,0.0,98.05,3.42
2015,3,5,22.56,31.3,13.01,45.06,0.0,98.17,2.25
2015,3,6,23.91,32.34,14.79,45.38,0.0,98.24,2.05
2015,3,7,25.12,33.17,15.54,43.0,0.0,98.12,1.84
2015,3,8,25.73,34.02,16.48,43.25,0.0,98.12,1.84
2015,3,9,25.84,32.36,18.44,51.94,2.53,98.3,1.93
2015,3,10,26.18,34.22,17.83,50.38,0.05,98.32,2.41
2015,3,11,26.05,34.07,17.43,50.31,0.0,98.31,2.95
2015,3,12,26.86,34.4,18.6,48.88,2.27,98.31,2.09
2015,3,13,28.01,35.58,19.76,44.81,0.0,98.16,1.43
2015,3,14,27.15,35.01,19.32,47.12,0.79,98.16,1.94
2015,3,15,26.92,35.44,18.87,47.44,2.51,98.1,3.42
2015,3,16,26.33,32.34,20.87,57.5,5.28,98.19,2.14
2015,3,17,27.59,34.21,21.4,56.38,0.02,98.08,1.61
2015,3,18,26.34,35.13,18.39,46.31,0.0,97.92,3.41
2015,3,19,26.48,36.01,17.42,40.94,0.0,98.04,3.09
2015,3,20,27.32,36.69,17.94,34.62,0.0,98.12,3.13
2015,3,21,28.4,37.97,18.87,30.94,0.0,98.16,2.74
2015,3,22,30.06,39.26,19.71,30.69,0.0,97.99,1.86
2015,3,23,30.94,39.88,21.22,29.69,0.0,97.74,1.74
2015,3,24,30.84,40.09,21.91,29.75,0.0,97.74,3.88
2015,3,25,30.54,40.12,21.52,22.25,0.0,97.83,3.17
2015,3,26,31.03,40.86,20.51,20.5,0.0,97.95,2.45
2015,3,27,31.02,39.98,21.81,25.75,0.08,97.96,1.88
2015,3,28,32.15,40.26,23.68,29.75,0.37,97.79,2.39
2015,3,29,31.14,37.04,25.06,37.5,3.81,97.68,3.09
2015,3,30,28.48,32.12,24.41,47.62,0.33,97.82,1.94
2015,3,31,30.63,38.37,22.02,41.06,0.0,97.76,2.29
2015,4,1,31.51,39.8,24.67,29.81,0.0,97.62,2.53
2015,4,2,30.89,40.69,21.33,20.06,0.0,97.48,2.98
2015,4,3,31.47,40.79,22.85,23.56,0.0,97.36,3.94
2015,4,4,31.15,40.12,23.45,20.94,0.0,97.24,4.95
2015,4,5,30.69,39.01,22.48,28.0,0.0,97.35,3.62
2015,4,6,31.8,39.65,23.76,25.62,0.0,97.4,2.64
2015,4,7,32.52,40.3,23.54,28.19,0.15,97.44,2.43
2015,4,8,32.68,38.58,26.49,35.94,0.27,97.63,3.52
2015,4,9,31.51,39.15,25.82,41.81,14.84,97.69,3.08
2015,4,10,30.67,38.51,22.92,50.94,1.01,97.69,2.84
2015,4,11,29.4,35.4,24.5,56.62,2.96,97.81,3.08
2015,4,12,25.69,29.83,21.44,63.19,0.65,98.11,2.72
2015,4,13,24.44,28.64,20.76,68.38,10.24,98.11,2.09
2015,4,14,25.41,30.68,19.74,63.31,12.84,97.98,2.27
2015,4,15,25.47,30.3,20.98,62.88,0.98,98.07,1.91
2015,4,16,27.78,34.49,20.48,55.31,0.01,98.13,1.63
2015,4,17,29.92,37.26,21.82,49.19,0.0,97.77,2.39
2015,4,18,31.26,41.12,22.15,46.56,0.0,97.38,3.83
2015,4,19,31.87,41.19,23.36,43.62,0.0,97.43,3.48
2015,4,20,32.55,42.01,23.93,41.62,0.0,97.55,3.59
2015,4,21,33.21,42.15,24.51,37.25,0.0,97.51,3.79
